    55/299     1.52G   0.02289   0.01211   0.01154   0.04654         4       640    0.8562    0.8521    0.8858    0.6092   0.04182  0.008071   0.01077
    56/299     1.52G   0.02214   0.01263   0.01073    0.0455         8       640    0.8626    0.8597    0.8935    0.6185   0.04335  0.008051   0.01132
    57/299     1.52G   0.02288   0.01244   0.01108    0.0464         3       640    0.8477    0.8868    0.8985    0.6176   0.04334  0.007848   0.01117
    58/299     1.52G   0.02261   0.01176   0.01002    0.0444         6       640    0.8736    0.8287    0.8776    0.5973   0.04155  0.008436  0.009907
    59/299     1.52G   0.02467   0.01235   0.01115   0.04817         6       640    0.8757    0.8375    0.8877    0.6168   0.04096  0.008259   0.01379
    60/299     1.52G   0.02423   0.01216   0.01067   0.04705         7       640    0.8434    0.8305    0.8802    0.6102   0.04059  0.008246   0.01068
    61/299     1.52G   0.02355   0.01277   0.01021   0.04653         8       640    0.8727    0.8648    0.9065    0.6428   0.04069  0.008193   0.01017
    62/299     1.52G   0.02212   0.01203   0.01018   0.04433         3       640    0.8319    0.7871     0.876    0.6248   0.04004  0.008016   0.01322
    63/299     1.52G   0.02288   0.01221   0.01167   0.04675         9       640    0.8691    0.8259    0.8919    0.6122   0.04056  0.007888   0.01068
    64/299     1.52G   0.02048   0.01209  0.009961   0.04253        11       640    0.8515    0.8543    0.8958    0.6327   0.04065  0.007824  0.009783
    65/299     1.52G   0.02285   0.01244   0.01176   0.04705         6       640    0.8665     0.822    0.8913    0.6223   0.03941  0.008154   0.01323
    66/299     1.52G   0.02275   0.01244   0.01116   0.04635         9       640    0.8884    0.8119    0.8972    0.6319   0.04056   0.00813   0.01123
    67/299     1.52G   0.02169   0.01206   0.01065    0.0444         8       640    0.8433    0.8881    0.9067    0.6304   0.03924  0.008153   0.01276
    68/299     1.52G   0.02124   0.01194  0.009941   0.04312         6       640    0.8148    0.8538     0.889    0.6297   0.03948  0.008046   0.01524
    69/299     1.52G   0.02068   0.01184  0.009427   0.04194         4       640    0.8392    0.8947     0.916    0.6539   0.03918  0.008045   0.01355
    70/299     1.52G   0.02355    0.0122   0.01039   0.04614         5       640     0.911    0.8627    0.9287    0.6684   0.03893    0.0078    0.0137
    71/299     1.52G   0.02242   0.01243  0.009105   0.04396         8       640    0.8518    0.8307    0.8942    0.6425   0.03951  0.008202   0.01009
    72/299     1.52G   0.02117   0.01189   0.01055   0.04361         8       640    0.8012    0.9008    0.8993    0.6376   0.03901  0.008004   0.01128
    73/299     1.52G   0.02527   0.01264   0.01218    0.0501         4       640    0.8926    0.8401    0.9009    0.6294   0.03945  0.007956   0.01041
    74/299     1.52G   0.02034   0.01225   0.01029   0.04287         4       640    0.8791    0.8559    0.9054    0.6501    0.0397  0.007726   0.01201
    75/299     1.52G   0.02189     0.012  0.009681   0.04357         8       640    0.8884    0.8765    0.9163    0.6661   0.03978   0.00781   0.01297
    76/299     1.52G   0.02174   0.01172   0.01004   0.04351         6       640     0.855    0.8689    0.9088     0.656   0.03979  0.007661   0.01062
    77/299     1.52G   0.02284   0.01202  0.009796   0.04466         5       640    0.8548    0.8842    0.9143    0.6648   0.03838  0.007868   0.01215
    78/299     1.52G   0.02143   0.01206  0.009029   0.04252         6       640     0.854    0.8406    0.9004     0.654   0.03972  0.007786   0.01001
    79/299     1.52G   0.02183   0.01196   0.01074   0.04453         8       640    0.8555    0.8426    0.8882    0.6354    0.0383  0.007809    0.0121
    80/299     1.52G   0.02138   0.01233   0.01041   0.04412        10       640    0.8966    0.8563    0.9149    0.6762   0.03752  0.008049   0.01163
    81/299     1.52G   0.02127   0.01175  0.009608   0.04262         6       640    0.9233    0.8427    0.9191    0.6594   0.03779  0.008037   0.01229
    82/299     1.52G   0.02219   0.01178    0.0109   0.04486         8       640    0.8408    0.8516    0.9047     0.674   0.03755  0.007952     0.011
    83/299     1.52G   0.02112   0.01198  0.008897     0.042         4       640    0.9025    0.8309    0.9017    0.6572    0.0383  0.007873   0.01235
    84/299     1.52G   0.02212    0.0122   0.01155   0.04587         9       640    0.8973    0.8137     0.898    0.6415   0.03783  0.008088   0.01545
    85/299     1.52G   0.02143   0.01191  0.009975   0.04332         7       640    0.9053    0.8607    0.9157    0.6705   0.03835  0.007475   0.01309
    86/299     1.52G   0.02214   0.01183  0.009647   0.04361         5       640    0.8821    0.8484    0.9117    0.6655   0.04032  0.007824   0.01232
    87/299     1.52G   0.01946   0.01163  0.009138   0.04023         5       640    0.9106    0.8525    0.9311    0.6713   0.03985  0.008036   0.01379
    88/299     1.52G   0.02145   0.01195  0.009001   0.04239         6       640    0.8967    0.8773    0.9226    0.6798   0.04002  0.007543   0.01219
    89/299     1.52G   0.02134   0.01203  0.009406   0.04278         5       640    0.8935    0.8307    0.9099    0.6585   0.03939  0.007889    0.0123
    90/299     1.52G   0.02274   0.01189  0.009682   0.04431         6       640    0.8726    0.8645    0.8997    0.6667   0.03901  0.007618   0.01254
    91/299     1.52G   0.02158   0.01219  0.009157   0.04292         4       640    0.9027    0.8874    0.9286    0.6854   0.03656  0.007726   0.01175
    92/299     1.52G   0.01965   0.01127  0.009263   0.04018         7       640    0.8962    0.8701    0.9119    0.6799   0.03743  0.007768   0.01178
    93/299     1.52G   0.02202   0.01199   0.01036   0.04437         6       640    0.8701    0.9048    0.9188    0.6854   0.03586  0.007624   0.01167
    94/299     1.52G   0.02132   0.01188  0.009587   0.04279         5       640    0.8973     0.877    0.9315    0.6922   0.03609  0.007642    0.0109
    95/299     1.52G   0.02203   0.01205  0.009195   0.04327         8       640    0.8301    0.8981    0.9185    0.6821   0.03619  0.007835     0.011
    96/299     1.52G   0.02236   0.01154  0.009348   0.04324         8       640    0.8739    0.8663    0.9241    0.6899   0.03594  0.007846  0.009977
    97/299     1.52G   0.02207   0.01163    0.0099    0.0436         4       640    0.8809    0.8884    0.9281    0.6907   0.03557  0.007934  0.008851
    98/299     1.52G   0.02251    0.0119  0.009664   0.04407         7       640     0.916    0.8569    0.9354     0.683   0.03562  0.007584   0.01139
    99/299     1.52G   0.02202   0.01159   0.00838   0.04198        10       640    0.8527    0.8864    0.9226    0.6903   0.03559  0.007703  0.009764
   100/299     1.52G   0.02063   0.01154  0.008088   0.04025         9       640    0.8815    0.8817    0.9226     0.685   0.03624  0.007917    0.0116
   101/299     1.52G    0.0213   0.01156  0.008372   0.04123         9       640    0.9066    0.8779    0.9338    0.6894   0.03745  0.007926   0.01068
   102/299     1.52G   0.02187   0.01187   0.00938   0.04312         3       640    0.8699    0.8925    0.9218     0.697   0.03686  0.007782   0.01163
   103/299     1.52G   0.02146   0.01202  0.008089   0.04157         9       640     0.877    0.8678    0.9225    0.6792    0.0379  0.007653  0.009057
   104/299     1.52G   0.02252   0.01201   0.01013   0.04466         8       640    0.9092    0.8853     0.932    0.6936   0.03652  0.007499  0.009971
   105/299     1.52G   0.02203   0.01221  0.008038   0.04227        15       640    0.8123    0.9154    0.9125    0.6871    0.0366  0.007547   0.01115
   106/299     1.52G   0.02085   0.01158  0.008493   0.04093         4       640    0.8975    0.8975    0.9392    0.7122   0.03595  0.007308   0.01001
   107/299     1.52G   0.02117   0.01191  0.009351   0.04243         3       640    0.8979    0.8986    0.9386    0.7057   0.03686  0.007467   0.01071
